0/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : 0, q_loss : 0, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
33/20000, episode_reward : 6, episode_length : 29, CTR : 0.20689655172413793, a_loss : -0.5182945728302002, q_loss : 0.1682976931333542, SCL Loss : 0×0, ICL Loss : 29×1.0, UCL Loss : 0×0
34/20000, episode_reward : 4, episode_length : 9, CTR : 0.4444444444444444, a_loss : -0.34026214480400085, q_loss : 0.160303995013237, SCL Loss : 0×0, ICL Loss : 9×1.0, UCL Loss : 0×0
35/20000, episode_reward : 24, episode_length : 100, CTR : 0.16, a_loss : -0.17976535856723785, q_loss : 0.051439013332128525, SCL Loss : 0×0, ICL Loss : 100×1.0, UCL Loss : 0×0
36/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.36779075860977173, q_loss : 0.19217680394649506, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
37/20000, episode_reward : 1, episode_length : 9, CTR : 0.1111111111111111, a_loss : -0.37643206119537354, q_loss : 0.15800626575946808, SCL Loss : 0×0, ICL Loss : 9×1.0, UCL Loss : 0×0
38/20000, episode_reward : 2, episode_length : 12, CTR : 0.16666666666666666, a_loss : -0.6257734298706055, q_loss : 0.3047248125076294, SCL Loss : 0×0, ICL Loss : 12×1.0, UCL Loss : 0×0
39/20000, episode_reward : 0, episode_length : 4, CTR : 0.0, a_loss : -0.6314051747322083, q_loss : 0.06364414095878601, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
40/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.599504828453064, q_loss : 0.17242857813835144, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
41/20000, episode_reward : 1, episode_length : 1, CTR : 1.0, a_loss : -0.4843616783618927, q_loss : 0.16853882372379303, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
42/20000, episode_reward : 1, episode_length : 2, CTR : 0.5, a_loss : -0.4085661470890045, q_loss : 0.04364568740129471, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
43/20000, episode_reward : 1, episode_length : 5, CTR : 0.2, a_loss : -0.44133108854293823, q_loss : 0.17976924777030945, SCL Loss : 0×0, ICL Loss : 5×1.0, UCL Loss : 0×0
44/20000, episode_reward : 1, episode_length : 9, CTR : 0.1111111111111111, a_loss : -0.495222270488739, q_loss : 0.31075674295425415, SCL Loss : 0×0, ICL Loss : 9×1.0, UCL Loss : 0×0
45/20000, episode_reward : 0, episode_length : 4, CTR : 0.0, a_loss : -0.5008304715156555, q_loss : 0.29549869894981384, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
46/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.43741852045059204, q_loss : 0.04731760546565056, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
