0/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : 0, q_loss : 0, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
3709/20000, episode_reward : 4, episode_length : 1, CTR : 1.0, a_loss : -47.65060043334961, q_loss : 1.3760509490966797, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
3710/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -52.83155059814453, q_loss : 0.9174233078956604, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
3711/20000, episode_reward : 58, episode_length : 17, CTR : 0.5882352941176471, a_loss : -53.74740219116211, q_loss : 1.454360008239746, SCL Loss : 0×0, ICL Loss : 17×1.0, UCL Loss : 0×0
3712/20000, episode_reward : 9, episode_length : 2, CTR : 0.5, a_loss : -53.35017395019531, q_loss : 1.6564751863479614, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3713/20000, episode_reward : 11, episode_length : 2, CTR : 1.0, a_loss : -49.45555877685547, q_loss : 1.7176504135131836, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3714/20000, episode_reward : 2, episode_length : 13, CTR : 0.15384615384615385, a_loss : -49.30778884887695, q_loss : 1.8430626392364502, SCL Loss : 0×0, ICL Loss : 13×1.0, UCL Loss : 0×0
3715/20000, episode_reward : 9, episode_length : 2, CTR : 0.5, a_loss : -53.89347839355469, q_loss : 2.045475482940674, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3716/20000, episode_reward : 18, episode_length : 4, CTR : 0.5, a_loss : -49.6835823059082, q_loss : 1.7098184823989868, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3717/20000, episode_reward : 11, episode_length : 2, CTR : 1.0, a_loss : -55.41343307495117, q_loss : 2.958510637283325, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3718/20000, episode_reward : 37, episode_length : 7, CTR : 0.7142857142857143, a_loss : -49.545074462890625, q_loss : 1.7036662101745605, SCL Loss : 0×0, ICL Loss : 7×1.0, UCL Loss : 0×0
3719/20000, episode_reward : 9, episode_length : 2, CTR : 0.5, a_loss : -48.53657531738281, q_loss : 2.0606613159179688, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3720/20000, episode_reward : 18, episode_length : 3, CTR : 0.6666666666666666, a_loss : -52.218849182128906, q_loss : 1.9328231811523438, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
3721/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -50.46882629394531, q_loss : 1.06559157371521, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3722/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -53.25503921508789, q_loss : 1.3151947259902954, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
3723/20000, episode_reward : 9, episode_length : 1, CTR : 1.0, a_loss : -54.314117431640625, q_loss : 1.5120190382003784, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
3724/20000, episode_reward : 2, episode_length : 4, CTR : 0.25, a_loss : -57.036285400390625, q_loss : 1.4599733352661133, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3725/20000, episode_reward : 7, episode_length : 4, CTR : 0.5, a_loss : -45.67706298828125, q_loss : 1.6703734397888184, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3726/20000, episode_reward : 56, episode_length : 15, CTR : 0.5333333333333333, a_loss : -48.748992919921875, q_loss : 2.6572017669677734, SCL Loss : 0×0, ICL Loss : 15×1.0, UCL Loss : 0×0
3727/20000, episode_reward : 18, episode_length : 4, CTR : 0.5, a_loss : -53.37753677368164, q_loss : 2.393094301223755, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3728/20000, episode_reward : 294, episode_length : 59, CTR : 0.6440677966101694, a_loss : -50.55121612548828, q_loss : 1.7934889793395996, SCL Loss : 0×0, ICL Loss : 59×1.0, UCL Loss : 0×0
3729/20000, episode_reward : 11, episode_length : 4, CTR : 0.5, a_loss : -46.445953369140625, q_loss : 1.7833408117294312, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3730/20000, episode_reward : 9, episode_length : 2, CTR : 0.5, a_loss : -49.50255584716797, q_loss : 1.899526596069336, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3731/20000, episode_reward : 64, episode_length : 15, CTR : 0.5333333333333333, a_loss : -51.93622589111328, q_loss : 1.7112414836883545, SCL Loss : 0×0, ICL Loss : 15×1.0, UCL Loss : 0×0
3732/20000, episode_reward : 45, episode_length : 7, CTR : 0.7142857142857143, a_loss : -49.481910705566406, q_loss : 1.6010332107543945, SCL Loss : 0×0, ICL Loss : 7×1.0, UCL Loss : 0×0
3733/20000, episode_reward : 9, episode_length : 2, CTR : 0.5, a_loss : -48.59864807128906, q_loss : 1.3505948781967163, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3734/20000, episode_reward : 5, episode_length : 3, CTR : 0.3333333333333333, a_loss : -52.405723571777344, q_loss : 1.4707707166671753, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
3735/20000, episode_reward : 27, episode_length : 4, CTR : 0.75, a_loss : -48.658851623535156, q_loss : 1.7398958206176758, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3736/20000, episode_reward : 36, episode_length : 5, CTR : 0.8, a_loss : -50.87775421142578, q_loss : 1.7666656970977783, SCL Loss : 0×0, ICL Loss : 5×1.0, UCL Loss : 0×0
3737/20000, episode_reward : 27, episode_length : 5, CTR : 0.6, a_loss : -51.640647888183594, q_loss : 1.8551872968673706, SCL Loss : 0×0, ICL Loss : 5×1.0, UCL Loss : 0×0
3738/20000, episode_reward : 9, episode_length : 2, CTR : 0.5, a_loss : -51.18397903442383, q_loss : 1.3498166799545288, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3739/20000, episode_reward : 112, episode_length : 20, CTR : 0.75, a_loss : -48.10136413574219, q_loss : 1.6103131771087646, SCL Loss : 0×0, ICL Loss : 20×1.0, UCL Loss : 0×0
3740/20000, episode_reward : 3, episode_length : 3, CTR : 0.3333333333333333, a_loss : -54.3760871887207, q_loss : 2.3359689712524414, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
3741/20000, episode_reward : 54, episode_length : 10, CTR : 0.6, a_loss : -53.75165557861328, q_loss : 1.920623779296875, SCL Loss : 0×0, ICL Loss : 10×1.0, UCL Loss : 0×0
3742/20000, episode_reward : 18, episode_length : 3, CTR : 0.6666666666666666, a_loss : -48.18302536010742, q_loss : 1.6734750270843506, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
3743/20000, episode_reward : 27, episode_length : 6, CTR : 0.5, a_loss : -50.716163635253906, q_loss : 1.6671454906463623, SCL Loss : 0×0, ICL Loss : 6×1.0, UCL Loss : 0×0
3744/20000, episode_reward : 16, episode_length : 3, CTR : 0.6666666666666666, a_loss : -52.66844177246094, q_loss : 1.4324917793273926, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
3745/20000, episode_reward : 18, episode_length : 4, CTR : 0.5, a_loss : -47.568878173828125, q_loss : 1.8275861740112305, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3746/20000, episode_reward : 4, episode_length : 2, CTR : 0.5, a_loss : -50.417022705078125, q_loss : 1.4821422100067139, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3747/20000, episode_reward : 54, episode_length : 12, CTR : 0.5, a_loss : -60.32860565185547, q_loss : 1.7971988916397095, SCL Loss : 0×0, ICL Loss : 12×1.0, UCL Loss : 0×0
3748/20000, episode_reward : 46, episode_length : 9, CTR : 0.6666666666666666, a_loss : -59.13627243041992, q_loss : 1.209255337715149, SCL Loss : 0×0, ICL Loss : 9×1.0, UCL Loss : 0×0
3749/20000, episode_reward : 22, episode_length : 5, CTR : 0.6, a_loss : -48.495182037353516, q_loss : 0.9040374755859375, SCL Loss : 0×0, ICL Loss : 5×1.0, UCL Loss : 0×0
3750/20000, episode_reward : 59, episode_length : 16, CTR : 0.5, a_loss : -54.839630126953125, q_loss : 1.876558542251587, SCL Loss : 0×0, ICL Loss : 16×1.0, UCL Loss : 0×0
3751/20000, episode_reward : 9, episode_length : 2, CTR : 0.5, a_loss : -47.95121383666992, q_loss : 1.3168034553527832, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3752/20000, episode_reward : 96, episode_length : 29, CTR : 0.5862068965517241, a_loss : -49.44952392578125, q_loss : 1.530212163925171, SCL Loss : 0×0, ICL Loss : 29×1.0, UCL Loss : 0×0
3753/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -53.24248504638672, q_loss : 0.6314164400100708, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
3754/20000, episode_reward : 37, episode_length : 10, CTR : 0.5, a_loss : -51.16413879394531, q_loss : 0.728986382484436, SCL Loss : 0×0, ICL Loss : 10×1.0, UCL Loss : 0×0
3755/20000, episode_reward : 45, episode_length : 10, CTR : 0.5, a_loss : -52.70907974243164, q_loss : 1.2556326389312744, SCL Loss : 0×0, ICL Loss : 10×1.0, UCL Loss : 0×0
3756/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -54.31805419921875, q_loss : 0.5750458240509033, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
3757/20000, episode_reward : 29, episode_length : 9, CTR : 0.5555555555555556, a_loss : -51.469730377197266, q_loss : 0.9786674976348877, SCL Loss : 0×0, ICL Loss : 9×1.0, UCL Loss : 0×0
3758/20000, episode_reward : 64, episode_length : 13, CTR : 0.6153846153846154, a_loss : -55.01683044433594, q_loss : 0.7134362459182739, SCL Loss : 0×0, ICL Loss : 13×1.0, UCL Loss : 0×0
3759/20000, episode_reward : 74, episode_length : 12, CTR : 0.8333333333333334, a_loss : -55.26325225830078, q_loss : 0.8042917847633362, SCL Loss : 0×0, ICL Loss : 12×1.0, UCL Loss : 0×0
3760/20000, episode_reward : 27, episode_length : 6, CTR : 0.5, a_loss : -55.472015380859375, q_loss : 1.274142861366272, SCL Loss : 0×0, ICL Loss : 6×1.0, UCL Loss : 0×0
3761/20000, episode_reward : 20, episode_length : 4, CTR : 1.0, a_loss : -56.93745803833008, q_loss : 1.110701322555542, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3762/20000, episode_reward : 63, episode_length : 8, CTR : 0.875, a_loss : -56.375938415527344, q_loss : 1.3706531524658203, SCL Loss : 0×0, ICL Loss : 8×1.0, UCL Loss : 0×0
3763/20000, episode_reward : 18, episode_length : 6, CTR : 0.3333333333333333, a_loss : -59.290836334228516, q_loss : 1.750399112701416, SCL Loss : 0×0, ICL Loss : 6×1.0, UCL Loss : 0×0
3764/20000, episode_reward : 14, episode_length : 3, CTR : 0.6666666666666666, a_loss : -59.57200622558594, q_loss : 1.472019910812378, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
3765/20000, episode_reward : 97, episode_length : 23, CTR : 0.5652173913043478, a_loss : -61.4431266784668, q_loss : 1.4779585599899292, SCL Loss : 0×0, ICL Loss : 23×1.0, UCL Loss : 0×0
3766/20000, episode_reward : 9, episode_length : 2, CTR : 0.5, a_loss : -52.745845794677734, q_loss : 1.3717153072357178, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3767/20000, episode_reward : 14, episode_length : 5, CTR : 0.4, a_loss : -66.86688232421875, q_loss : 0.8957761526107788, SCL Loss : 0×0, ICL Loss : 5×1.0, UCL Loss : 0×0
3768/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -57.00550842285156, q_loss : 1.3477585315704346, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3769/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -59.67475128173828, q_loss : 1.5282464027404785, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
3770/20000, episode_reward : 18, episode_length : 4, CTR : 0.5, a_loss : -61.12611389160156, q_loss : 1.343635082244873, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3771/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -55.87468338012695, q_loss : 1.07949697971344, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
3772/20000, episode_reward : 111, episode_length : 17, CTR : 0.7647058823529411, a_loss : -59.24114227294922, q_loss : 1.3079438209533691, SCL Loss : 0×0, ICL Loss : 17×1.0, UCL Loss : 0×0
3773/20000, episode_reward : 9, episode_length : 1, CTR : 1.0, a_loss : -56.82837677001953, q_loss : 0.6394568681716919, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
3774/20000, episode_reward : 29, episode_length : 4, CTR : 1.0, a_loss : -53.218589782714844, q_loss : 1.0320532321929932, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3775/20000, episode_reward : 20, episode_length : 6, CTR : 0.5, a_loss : -50.663970947265625, q_loss : 0.41079026460647583, SCL Loss : 0×0, ICL Loss : 6×1.0, UCL Loss : 0×0
3776/20000, episode_reward : 13, episode_length : 4, CTR : 0.5, a_loss : -54.1312141418457, q_loss : 1.492685079574585, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3777/20000, episode_reward : 47, episode_length : 11, CTR : 0.6363636363636364, a_loss : -56.604183197021484, q_loss : 1.1151924133300781, SCL Loss : 0×0, ICL Loss : 11×1.0, UCL Loss : 0×0
3778/20000, episode_reward : 10, episode_length : 4, CTR : 0.5, a_loss : -56.63159942626953, q_loss : 0.6104223728179932, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3779/20000, episode_reward : 68, episode_length : 14, CTR : 0.7142857142857143, a_loss : -55.629215240478516, q_loss : 1.0107841491699219, SCL Loss : 0×0, ICL Loss : 14×1.0, UCL Loss : 0×0
3780/20000, episode_reward : 28, episode_length : 6, CTR : 0.6666666666666666, a_loss : -57.784820556640625, q_loss : 0.9237557649612427, SCL Loss : 0×0, ICL Loss : 6×1.0, UCL Loss : 0×0
3781/20000, episode_reward : 4, episode_length : 2, CTR : 0.5, a_loss : -55.44282531738281, q_loss : 1.1336658000946045, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3782/20000, episode_reward : 83, episode_length : 12, CTR : 0.8333333333333334, a_loss : -55.82400131225586, q_loss : 1.4301804304122925, SCL Loss : 0×0, ICL Loss : 12×1.0, UCL Loss : 0×0
3783/20000, episode_reward : 20, episode_length : 3, CTR : 1.0, a_loss : -59.23057174682617, q_loss : 0.6711306571960449, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
3784/20000, episode_reward : 9, episode_length : 3, CTR : 0.3333333333333333, a_loss : -45.98956298828125, q_loss : 0.9211282730102539, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
3785/20000, episode_reward : 18, episode_length : 2, CTR : 1.0, a_loss : -47.09814453125, q_loss : 0.9329090714454651, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3786/20000, episode_reward : 56, episode_length : 13, CTR : 0.6153846153846154, a_loss : -54.46497344970703, q_loss : 0.9860833287239075, SCL Loss : 0×0, ICL Loss : 13×1.0, UCL Loss : 0×0
3787/20000, episode_reward : 9, episode_length : 1, CTR : 1.0, a_loss : -58.819969177246094, q_loss : 0.7563575506210327, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
3788/20000, episode_reward : 13, episode_length : 3, CTR : 0.6666666666666666, a_loss : -58.53110122680664, q_loss : 1.359156608581543, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
3789/20000, episode_reward : 9, episode_length : 3, CTR : 0.3333333333333333, a_loss : -56.1524543762207, q_loss : 0.970201849937439, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
3790/20000, episode_reward : 1, episode_length : 2, CTR : 0.5, a_loss : -48.574981689453125, q_loss : 1.3558999300003052, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3791/20000, episode_reward : 36, episode_length : 4, CTR : 1.0, a_loss : -51.038063049316406, q_loss : 0.7651068568229675, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3792/20000, episode_reward : 18, episode_length : 2, CTR : 1.0, a_loss : -53.07759094238281, q_loss : 1.377523422241211, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3793/20000, episode_reward : 27, episode_length : 4, CTR : 0.75, a_loss : -51.472496032714844, q_loss : 0.5286701917648315, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3794/20000, episode_reward : 9, episode_length : 3, CTR : 0.3333333333333333, a_loss : -52.04033660888672, q_loss : 1.3231176137924194, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
3795/20000, episode_reward : 85, episode_length : 16, CTR : 0.8125, a_loss : -63.14002990722656, q_loss : 1.0757300853729248, SCL Loss : 0×0, ICL Loss : 16×1.0, UCL Loss : 0×0
3796/20000, episode_reward : 9, episode_length : 5, CTR : 0.2, a_loss : -63.210968017578125, q_loss : 1.1127967834472656, SCL Loss : 0×0, ICL Loss : 5×1.0, UCL Loss : 0×0
3797/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -57.40377426147461, q_loss : 0.8810963034629822, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
3798/20000, episode_reward : 279, episode_length : 64, CTR : 0.53125, a_loss : -52.737098693847656, q_loss : 1.0058271884918213, SCL Loss : 0×0, ICL Loss : 64×1.0, UCL Loss : 0×0
3799/20000, episode_reward : 14, episode_length : 7, CTR : 0.42857142857142855, a_loss : -58.670249938964844, q_loss : 1.2854630947113037, SCL Loss : 0×0, ICL Loss : 7×1.0, UCL Loss : 0×0
3800/20000, episode_reward : 9, episode_length : 3, CTR : 0.3333333333333333, a_loss : -54.36073303222656, q_loss : 1.2517715692520142, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
3801/20000, episode_reward : 46, episode_length : 10, CTR : 0.6, a_loss : -55.35563659667969, q_loss : 0.6610643267631531, SCL Loss : 0×0, ICL Loss : 10×1.0, UCL Loss : 0×0
3802/20000, episode_reward : 2, episode_length : 4, CTR : 0.25, a_loss : -60.40514373779297, q_loss : 0.9296618700027466, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3803/20000, episode_reward : 10, episode_length : 5, CTR : 0.4, a_loss : -48.675567626953125, q_loss : 0.9799625873565674, SCL Loss : 0×0, ICL Loss : 5×1.0, UCL Loss : 0×0
3804/20000, episode_reward : 65, episode_length : 12, CTR : 0.6666666666666666, a_loss : -53.428001403808594, q_loss : 1.5585715770721436, SCL Loss : 0×0, ICL Loss : 12×1.0, UCL Loss : 0×0
3805/20000, episode_reward : 2, episode_length : 4, CTR : 0.5, a_loss : -51.69032287597656, q_loss : 1.0320188999176025, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3806/20000, episode_reward : 9, episode_length : 2, CTR : 0.5, a_loss : -54.24839782714844, q_loss : 0.7940906286239624, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3807/20000, episode_reward : 9, episode_length : 4, CTR : 0.25, a_loss : -52.71240234375, q_loss : 1.2939997911453247, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3808/20000, episode_reward : 9, episode_length : 1, CTR : 1.0, a_loss : -55.113922119140625, q_loss : 0.9377773404121399, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
3809/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -50.699073791503906, q_loss : 0.8657472133636475, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
3810/20000, episode_reward : 36, episode_length : 7, CTR : 0.5714285714285714, a_loss : -54.008758544921875, q_loss : 0.9606019258499146, SCL Loss : 0×0, ICL Loss : 7×1.0, UCL Loss : 0×0
3811/20000, episode_reward : 9, episode_length : 3, CTR : 0.3333333333333333, a_loss : -55.97080993652344, q_loss : 1.5113270282745361, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
3812/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -53.650760650634766, q_loss : 0.7086837291717529, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3813/20000, episode_reward : 19, episode_length : 4, CTR : 0.75, a_loss : -56.501914978027344, q_loss : 1.3084100484848022, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3814/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -55.28417205810547, q_loss : 1.6212717294692993, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
3815/20000, episode_reward : 68, episode_length : 14, CTR : 0.8571428571428571, a_loss : -47.60955810546875, q_loss : 1.1071088314056396, SCL Loss : 0×0, ICL Loss : 14×1.0, UCL Loss : 0×0
3816/20000, episode_reward : 56, episode_length : 19, CTR : 0.3684210526315789, a_loss : -47.83127975463867, q_loss : 0.884952187538147, SCL Loss : 0×0, ICL Loss : 19×1.0, UCL Loss : 0×0
3817/20000, episode_reward : 2, episode_length : 1, CTR : 1.0, a_loss : -53.04499053955078, q_loss : 0.40360432863235474, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
3818/20000, episode_reward : 49, episode_length : 11, CTR : 0.6363636363636364, a_loss : -48.00825500488281, q_loss : 1.0826647281646729, SCL Loss : 0×0, ICL Loss : 11×1.0, UCL Loss : 0×0
3819/20000, episode_reward : 18, episode_length : 4, CTR : 0.5, a_loss : -55.261558532714844, q_loss : 0.9520837068557739, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3820/20000, episode_reward : 10, episode_length : 3, CTR : 0.6666666666666666, a_loss : -50.899009704589844, q_loss : 1.3376827239990234, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
3821/20000, episode_reward : 19, episode_length : 3, CTR : 1.0, a_loss : -48.2923469543457, q_loss : 0.9329841732978821, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
3822/20000, episode_reward : 47, episode_length : 15, CTR : 0.4666666666666667, a_loss : -56.771385192871094, q_loss : 1.0145595073699951, SCL Loss : 0×0, ICL Loss : 15×1.0, UCL Loss : 0×0
3823/20000, episode_reward : 13, episode_length : 4, CTR : 0.5, a_loss : -52.41138458251953, q_loss : 0.4999244213104248, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3824/20000, episode_reward : 64, episode_length : 11, CTR : 0.7272727272727273, a_loss : -48.844688415527344, q_loss : 0.9949641227722168, SCL Loss : 0×0, ICL Loss : 11×1.0, UCL Loss : 0×0
3825/20000, episode_reward : 36, episode_length : 4, CTR : 1.0, a_loss : -53.385459899902344, q_loss : 1.4968039989471436, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3826/20000, episode_reward : 119, episode_length : 28, CTR : 0.6428571428571429, a_loss : -56.05008316040039, q_loss : 1.180807113647461, SCL Loss : 0×0, ICL Loss : 28×1.0, UCL Loss : 0×0
3827/20000, episode_reward : 1, episode_length : 2, CTR : 0.5, a_loss : -57.07594680786133, q_loss : 1.487600326538086, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3828/20000, episode_reward : 14, episode_length : 2, CTR : 1.0, a_loss : -55.15098571777344, q_loss : 1.105441689491272, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3829/20000, episode_reward : 11, episode_length : 2, CTR : 1.0, a_loss : -58.0246696472168, q_loss : 1.3875635862350464, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3830/20000, episode_reward : 100, episode_length : 36, CTR : 0.6388888888888888, a_loss : -57.90163040161133, q_loss : 0.7261361479759216, SCL Loss : 0×0, ICL Loss : 36×1.0, UCL Loss : 0×0
3831/20000, episode_reward : 9, episode_length : 4, CTR : 0.25, a_loss : -52.43702697753906, q_loss : 1.0014268159866333, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3832/20000, episode_reward : 10, episode_length : 4, CTR : 0.5, a_loss : -57.5612678527832, q_loss : 1.1122580766677856, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3833/20000, episode_reward : 0, episode_length : 3, CTR : 0.0, a_loss : -47.97089385986328, q_loss : 1.2115494012832642, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
3834/20000, episode_reward : 82, episode_length : 25, CTR : 0.48, a_loss : -54.02259826660156, q_loss : 1.2227973937988281, SCL Loss : 0×0, ICL Loss : 25×1.0, UCL Loss : 0×0
3835/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -54.63597106933594, q_loss : 1.147215485572815, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
3836/20000, episode_reward : 18, episode_length : 4, CTR : 0.5, a_loss : -55.94169616699219, q_loss : 1.0945327281951904, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3837/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -58.1802864074707, q_loss : 0.813449501991272, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
3838/20000, episode_reward : 18, episode_length : 4, CTR : 0.5, a_loss : -57.71635437011719, q_loss : 1.069671630859375, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
3839/20000, episode_reward : 45, episode_length : 11, CTR : 0.7272727272727273, a_loss : -52.531002044677734, q_loss : 0.6367142796516418, SCL Loss : 0×0, ICL Loss : 11×1.0, UCL Loss : 0×0
3840/20000, episode_reward : 9, episode_length : 3, CTR : 0.3333333333333333, a_loss : -55.71013259887695, q_loss : 1.0082108974456787, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
3841/20000, episode_reward : 68, episode_length : 17, CTR : 0.47058823529411764, a_loss : -62.45342254638672, q_loss : 1.5660218000411987, SCL Loss : 0×0, ICL Loss : 17×1.0, UCL Loss : 0×0
3842/20000, episode_reward : 17, episode_length : 5, CTR : 0.6, a_loss : -57.17090606689453, q_loss : 1.0172758102416992, SCL Loss : 0×0, ICL Loss : 5×1.0, UCL Loss : 0×0
3843/20000, episode_reward : 18, episode_length : 2, CTR : 1.0, a_loss : -53.15468978881836, q_loss : 1.291578769683838, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
3844/20000, episode_reward : 55, episode_length : 18, CTR : 0.3888888888888889, a_loss : -60.58463668823242, q_loss : 1.363321304321289, SCL Loss : 0×0, ICL Loss : 18×1.0, UCL Loss : 0×0
3845/20000, episode_reward : 27, episode_length : 3, CTR : 1.0, a_loss : -57.26311492919922, q_loss : 1.3131715059280396, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
3846/20000, episode_reward : 7, episode_length : 3, CTR : 0.6666666666666666, a_loss : -56.56553649902344, q_loss : 0.9193179607391357, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
