0/20000, episode_reward : 1, episode_length : 10, CTR : 0.1, a_loss : 0, q_loss : 0
5814/20000, episode_reward : 8, episode_length : 9, CTR : 0.3333333333333333, a_loss : -27.506942749023438, q_loss : 0.11436103284358978
5815/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -23.267704010009766, q_loss : 0.19586162269115448
5816/20000, episode_reward : 3, episode_length : 8, CTR : 0.25, a_loss : -27.723609924316406, q_loss : 0.0835142657160759
5817/20000, episode_reward : 1, episode_length : 7, CTR : 0.14285714285714285, a_loss : -22.373035430908203, q_loss : 0.09741225838661194
5818/20000, episode_reward : 6, episode_length : 4, CTR : 0.75, a_loss : -24.78561019897461, q_loss : 0.09931138902902603
5819/20000, episode_reward : 41, episode_length : 14, CTR : 0.7142857142857143, a_loss : -23.58981704711914, q_loss : 0.08564534783363342
5820/20000, episode_reward : 4, episode_length : 2, CTR : 1.0, a_loss : -21.57621192932129, q_loss : 0.1226624920964241
5821/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -22.745811462402344, q_loss : 0.07537839561700821
5822/20000, episode_reward : 0, episode_length : 16, CTR : 0.0, a_loss : -27.645355224609375, q_loss : 0.12415853142738342
5823/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -29.695728302001953, q_loss : 0.09166949987411499
5824/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -25.017345428466797, q_loss : 0.12415217608213425
5825/20000, episode_reward : 4, episode_length : 2, CTR : 1.0, a_loss : -24.375450134277344, q_loss : 0.11493565887212753
5826/20000, episode_reward : 18, episode_length : 10, CTR : 0.9, a_loss : -24.599300384521484, q_loss : 0.14503496885299683
5827/20000, episode_reward : 28, episode_length : 8, CTR : 0.625, a_loss : -23.516489028930664, q_loss : 0.10524085909128189
5828/20000, episode_reward : 3, episode_length : 2, CTR : 1.0, a_loss : -29.94359588623047, q_loss : 0.10297039151191711
5829/20000, episode_reward : 92, episode_length : 43, CTR : 0.5581395348837209, a_loss : -21.567428588867188, q_loss : 0.1280379742383957
5830/20000, episode_reward : 4, episode_length : 2, CTR : 1.0, a_loss : -24.30594253540039, q_loss : 0.26596641540527344
5831/20000, episode_reward : 15, episode_length : 3, CTR : 1.0, a_loss : -26.228153228759766, q_loss : 0.3232877254486084
5832/20000, episode_reward : 4, episode_length : 3, CTR : 0.6666666666666666, a_loss : -19.807884216308594, q_loss : 0.08520922064781189
5833/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -21.33171272277832, q_loss : 0.11454054713249207
5834/20000, episode_reward : 4, episode_length : 2, CTR : 1.0, a_loss : -24.2519474029541, q_loss : 0.10952708125114441
5835/20000, episode_reward : 88, episode_length : 75, CTR : 0.32, a_loss : -22.780723571777344, q_loss : 0.10056443512439728
5836/20000, episode_reward : 2, episode_length : 2, CTR : 0.5, a_loss : -25.5756778717041, q_loss : 0.172990620136261
5837/20000, episode_reward : 2, episode_length : 4, CTR : 0.25, a_loss : -26.796541213989258, q_loss : 0.14296448230743408
5838/20000, episode_reward : 12, episode_length : 64, CTR : 0.171875, a_loss : -24.379222869873047, q_loss : 0.11780206114053726
5839/20000, episode_reward : 67, episode_length : 18, CTR : 0.8888888888888888, a_loss : -20.93689727783203, q_loss : 0.11468793451786041
5840/20000, episode_reward : 13, episode_length : 6, CTR : 1.0, a_loss : -22.561800003051758, q_loss : 0.16675952076911926
5841/20000, episode_reward : 8, episode_length : 3, CTR : 0.3333333333333333, a_loss : -27.630069732666016, q_loss : 0.10691726207733154
5842/20000, episode_reward : 4, episode_length : 1, CTR : 1.0, a_loss : -22.407575607299805, q_loss : 0.10714195668697357
5843/20000, episode_reward : 6, episode_length : 6, CTR : 0.5, a_loss : -21.338529586791992, q_loss : 0.09575127065181732
5844/20000, episode_reward : 4, episode_length : 2, CTR : 1.0, a_loss : -27.61199188232422, q_loss : 0.09608656167984009
5845/20000, episode_reward : 10, episode_length : 3, CTR : 0.6666666666666666, a_loss : -24.91411590576172, q_loss : 0.13800080120563507
5846/20000, episode_reward : 17, episode_length : 4, CTR : 0.75, a_loss : -27.328866958618164, q_loss : 0.1592472642660141
5847/20000, episode_reward : 3, episode_length : 4, CTR : 0.25, a_loss : -21.29427719116211, q_loss : 0.10038629174232483
5848/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -25.21913719177246, q_loss : 0.10683494806289673
5849/20000, episode_reward : 8, episode_length : 4, CTR : 1.0, a_loss : -22.467912673950195, q_loss : 0.07223653793334961
5850/20000, episode_reward : 43, episode_length : 64, CTR : 0.40625, a_loss : -25.9108943939209, q_loss : 0.08846011757850647
5851/20000, episode_reward : 6, episode_length : 2, CTR : 1.0, a_loss : -23.85738754272461, q_loss : 0.14545105397701263
5852/20000, episode_reward : 102, episode_length : 90, CTR : 0.43333333333333335, a_loss : -29.96246910095215, q_loss : 0.08501708507537842
5853/20000, episode_reward : 2, episode_length : 5, CTR : 0.2, a_loss : -27.872634887695312, q_loss : 0.07422937452793121
5854/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -24.99692153930664, q_loss : 0.10643624514341354
5855/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -23.43160629272461, q_loss : 0.17252743244171143
5856/20000, episode_reward : 20, episode_length : 8, CTR : 0.625, a_loss : -22.04168701171875, q_loss : 0.054541055113077164
5857/20000, episode_reward : 2, episode_length : 2, CTR : 0.5, a_loss : -22.5744571685791, q_loss : 0.09980275481939316
5858/20000, episode_reward : 16, episode_length : 6, CTR : 1.0, a_loss : -21.93120765686035, q_loss : 0.062387723475694656
5859/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -23.049165725708008, q_loss : 0.09390448033809662
5860/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -30.19379997253418, q_loss : 0.1534298062324524
5861/20000, episode_reward : 15, episode_length : 4, CTR : 1.0, a_loss : -29.58619499206543, q_loss : 0.12955963611602783
5862/20000, episode_reward : 23, episode_length : 10, CTR : 0.6, a_loss : -22.374492645263672, q_loss : 0.09262926876544952
5863/20000, episode_reward : 16, episode_length : 8, CTR : 0.75, a_loss : -25.95736312866211, q_loss : 0.10205544531345367
5864/20000, episode_reward : 2, episode_length : 1, CTR : 1.0, a_loss : -20.34714126586914, q_loss : 0.08364556729793549
5865/20000, episode_reward : 2, episode_length : 2, CTR : 0.5, a_loss : -26.098102569580078, q_loss : 0.06882397830486298
5866/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -23.258512496948242, q_loss : 0.11670611053705215
5867/20000, episode_reward : 23, episode_length : 10, CTR : 0.8, a_loss : -27.877939224243164, q_loss : 0.17173835635185242
5868/20000, episode_reward : 9, episode_length : 21, CTR : 0.14285714285714285, a_loss : -25.174671173095703, q_loss : 0.1487903892993927
5869/20000, episode_reward : 2, episode_length : 2, CTR : 0.5, a_loss : -21.61354637145996, q_loss : 0.11282007396221161
5870/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -23.00261688232422, q_loss : 0.1518438756465912
5871/20000, episode_reward : 4, episode_length : 2, CTR : 1.0, a_loss : -26.41938591003418, q_loss : 0.21611814200878143
5872/20000, episode_reward : 31, episode_length : 41, CTR : 0.3902439024390244, a_loss : -24.48296356201172, q_loss : 0.10441087186336517
5873/20000, episode_reward : 2, episode_length : 18, CTR : 0.1111111111111111, a_loss : -24.430545806884766, q_loss : 0.11884574592113495
5874/20000, episode_reward : 22, episode_length : 10, CTR : 0.6, a_loss : -25.719520568847656, q_loss : 0.09445355087518692
5875/20000, episode_reward : 49, episode_length : 36, CTR : 0.2777777777777778, a_loss : -26.79534149169922, q_loss : 0.12304018437862396
5876/20000, episode_reward : 2, episode_length : 2, CTR : 0.5, a_loss : -22.51130485534668, q_loss : 0.08530595153570175
5877/20000, episode_reward : 2, episode_length : 2, CTR : 0.5, a_loss : -19.43450927734375, q_loss : 0.17621712386608124
5878/20000, episode_reward : 35, episode_length : 15, CTR : 0.6, a_loss : -29.4244384765625, q_loss : 0.15797953307628632
5879/20000, episode_reward : 2, episode_length : 1, CTR : 1.0, a_loss : -26.4539852142334, q_loss : 0.1008184552192688
5880/20000, episode_reward : 2, episode_length : 2, CTR : 0.5, a_loss : -26.766016006469727, q_loss : 0.05326863378286362
5881/20000, episode_reward : 4, episode_length : 3, CTR : 0.3333333333333333, a_loss : -25.273761749267578, q_loss : 0.12883177399635315
5882/20000, episode_reward : 2, episode_length : 2, CTR : 0.5, a_loss : -27.58753776550293, q_loss : 0.07540563493967056
5883/20000, episode_reward : 36, episode_length : 9, CTR : 0.8888888888888888, a_loss : -22.982906341552734, q_loss : 0.07980449497699738
5884/20000, episode_reward : 61, episode_length : 64, CTR : 0.296875, a_loss : -21.030277252197266, q_loss : 0.08044880628585815
5885/20000, episode_reward : 2, episode_length : 2, CTR : 0.5, a_loss : -19.82805061340332, q_loss : 0.11041101068258286
5886/20000, episode_reward : 22, episode_length : 8, CTR : 0.75, a_loss : -21.785598754882812, q_loss : 0.12749049067497253
5887/20000, episode_reward : 11, episode_length : 2, CTR : 1.0, a_loss : -24.993196487426758, q_loss : 0.1264793425798416
5888/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -24.529645919799805, q_loss : 0.11916399002075195
5889/20000, episode_reward : 32, episode_length : 9, CTR : 0.6666666666666666, a_loss : -27.7570743560791, q_loss : 0.12195248156785965
5890/20000, episode_reward : 2, episode_length : 5, CTR : 0.2, a_loss : -27.3034610748291, q_loss : 0.07632499933242798
5891/20000, episode_reward : 9, episode_length : 7, CTR : 0.42857142857142855, a_loss : -26.945680618286133, q_loss : 0.10648149996995926
5892/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -26.54403305053711, q_loss : 0.10543058812618256
5893/20000, episode_reward : 12, episode_length : 7, CTR : 0.7142857142857143, a_loss : -25.687210083007812, q_loss : 0.09622353315353394
5894/20000, episode_reward : 6, episode_length : 7, CTR : 0.42857142857142855, a_loss : -24.35860252380371, q_loss : 0.07308919727802277
5895/20000, episode_reward : 4, episode_length : 2, CTR : 0.5, a_loss : -22.538705825805664, q_loss : 0.15531852841377258
5896/20000, episode_reward : 45, episode_length : 12, CTR : 0.8333333333333334, a_loss : -23.37108612060547, q_loss : 0.1741279661655426
5897/20000, episode_reward : 4, episode_length : 2, CTR : 0.5, a_loss : -24.928361892700195, q_loss : 0.1174837201833725
5898/20000, episode_reward : 36, episode_length : 17, CTR : 0.5882352941176471, a_loss : -26.24960708618164, q_loss : 0.07133600115776062
5899/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -24.854694366455078, q_loss : 0.43131202459335327
5900/20000, episode_reward : 2, episode_length : 2, CTR : 0.5, a_loss : -22.457164764404297, q_loss : 0.1202067881822586
5901/20000, episode_reward : 29, episode_length : 13, CTR : 0.6923076923076923, a_loss : -24.510284423828125, q_loss : 0.16402728855609894
5902/20000, episode_reward : 5, episode_length : 6, CTR : 0.16666666666666666, a_loss : -21.661983489990234, q_loss : 0.1132032573223114
5903/20000, episode_reward : 4, episode_length : 2, CTR : 1.0, a_loss : -23.750444412231445, q_loss : 0.07936008274555206
5904/20000, episode_reward : 43, episode_length : 46, CTR : 0.32608695652173914, a_loss : -25.868066787719727, q_loss : 0.09623613953590393
5905/20000, episode_reward : 2, episode_length : 1, CTR : 1.0, a_loss : -27.7579345703125, q_loss : 0.08942258358001709
5906/20000, episode_reward : 14, episode_length : 5, CTR : 0.6, a_loss : -21.125869750976562, q_loss : 0.06940025091171265
5907/20000, episode_reward : 47, episode_length : 13, CTR : 0.8461538461538461, a_loss : -25.029056549072266, q_loss : 0.10831710696220398
5908/20000, episode_reward : 38, episode_length : 25, CTR : 0.6, a_loss : -23.600299835205078, q_loss : 0.11920055001974106
5909/20000, episode_reward : 12, episode_length : 12, CTR : 0.5, a_loss : -24.394912719726562, q_loss : 0.09990944713354111
5910/20000, episode_reward : 59, episode_length : 16, CTR : 0.75, a_loss : -25.27997589111328, q_loss : 0.12484677881002426
5911/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -30.754491806030273, q_loss : 0.31558799743652344
5912/20000, episode_reward : 3, episode_length : 2, CTR : 1.0, a_loss : -26.41343116760254, q_loss : 0.19379973411560059
5913/20000, episode_reward : 5, episode_length : 3, CTR : 0.3333333333333333, a_loss : -26.700397491455078, q_loss : 0.45479345321655273
5914/20000, episode_reward : 16, episode_length : 7, CTR : 0.7142857142857143, a_loss : -18.76777458190918, q_loss : 0.10200776904821396
5915/20000, episode_reward : 6, episode_length : 15, CTR : 0.13333333333333333, a_loss : -27.512067794799805, q_loss : 0.16691602766513824
5916/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -28.568103790283203, q_loss : 0.08687515556812286
5917/20000, episode_reward : 2, episode_length : 2, CTR : 0.5, a_loss : -24.899845123291016, q_loss : 0.11436790227890015
5918/20000, episode_reward : 2, episode_length : 1, CTR : 1.0, a_loss : -23.243846893310547, q_loss : 0.09034483879804611
5919/20000, episode_reward : 209, episode_length : 65, CTR : 0.6307692307692307, a_loss : -25.903749465942383, q_loss : 0.09896786510944366
5920/20000, episode_reward : 23, episode_length : 15, CTR : 0.3333333333333333, a_loss : -23.4172306060791, q_loss : 0.06250471621751785
5921/20000, episode_reward : 23, episode_length : 8, CTR : 0.75, a_loss : -22.572559356689453, q_loss : 0.12530028820037842
5922/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -32.2894401550293, q_loss : 0.14076918363571167
5923/20000, episode_reward : 4, episode_length : 15, CTR : 0.13333333333333333, a_loss : -21.240493774414062, q_loss : 0.04956109821796417
5924/20000, episode_reward : 0, episode_length : 3, CTR : 0.0, a_loss : -23.81553077697754, q_loss : 0.10323301702737808
5925/20000, episode_reward : 54, episode_length : 31, CTR : 0.4838709677419355, a_loss : -23.223648071289062, q_loss : 0.1700095385313034
5926/20000, episode_reward : 15, episode_length : 6, CTR : 0.8333333333333334, a_loss : -24.824901580810547, q_loss : 0.05969538539648056
5927/20000, episode_reward : 11, episode_length : 4, CTR : 0.75, a_loss : -27.630287170410156, q_loss : 0.14705514907836914
5928/20000, episode_reward : 5, episode_length : 2, CTR : 1.0, a_loss : -29.340070724487305, q_loss : 0.12254542112350464
5929/20000, episode_reward : 2, episode_length : 10, CTR : 0.1, a_loss : -24.030237197875977, q_loss : 0.08440528810024261
5930/20000, episode_reward : 129, episode_length : 52, CTR : 0.8076923076923077, a_loss : -24.866867065429688, q_loss : 0.1187034547328949
5931/20000, episode_reward : 14, episode_length : 4, CTR : 1.0, a_loss : -22.927940368652344, q_loss : 0.11973653733730316
5932/20000, episode_reward : 6, episode_length : 4, CTR : 0.5, a_loss : -21.704607009887695, q_loss : 0.19185277819633484
5933/20000, episode_reward : 4, episode_length : 3, CTR : 0.6666666666666666, a_loss : -24.773677825927734, q_loss : 0.1428166627883911
5934/20000, episode_reward : 4, episode_length : 4, CTR : 0.5, a_loss : -31.305727005004883, q_loss : 0.0800718143582344
5935/20000, episode_reward : 4, episode_length : 8, CTR : 0.375, a_loss : -29.62322425842285, q_loss : 0.2300572693347931
5936/20000, episode_reward : 7, episode_length : 3, CTR : 0.6666666666666666, a_loss : -19.448917388916016, q_loss : 0.19724777340888977
5937/20000, episode_reward : 16, episode_length : 5, CTR : 0.8, a_loss : -23.463363647460938, q_loss : 0.08786987513303757
5938/20000, episode_reward : 0, episode_length : 7, CTR : 0.0, a_loss : -26.235233306884766, q_loss : 0.08454281836748123
5939/20000, episode_reward : 2, episode_length : 2, CTR : 0.5, a_loss : -23.292415618896484, q_loss : 0.14552222192287445
5940/20000, episode_reward : 0, episode_length : 10, CTR : 0.0, a_loss : -25.52984046936035, q_loss : 0.07618598639965057
5941/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -26.244312286376953, q_loss : 0.0865132287144661
5942/20000, episode_reward : 31, episode_length : 16, CTR : 0.6875, a_loss : -24.072160720825195, q_loss : 0.07198625057935715
5943/20000, episode_reward : 42, episode_length : 16, CTR : 0.6875, a_loss : -24.842878341674805, q_loss : 0.057535089552402496
5944/20000, episode_reward : 15, episode_length : 3, CTR : 1.0, a_loss : -21.724340438842773, q_loss : 0.1033751517534256
5945/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -24.166622161865234, q_loss : 0.11380426585674286
5946/20000, episode_reward : 1, episode_length : 1, CTR : 1.0, a_loss : -23.155786514282227, q_loss : 0.14091920852661133
5947/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -22.465747833251953, q_loss : 0.09752705693244934
5948/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -25.455474853515625, q_loss : 0.09644018113613129
5949/20000, episode_reward : 2, episode_length : 4, CTR : 0.5, a_loss : -24.839393615722656, q_loss : 0.20934617519378662
5950/20000, episode_reward : 58, episode_length : 53, CTR : 0.41509433962264153, a_loss : -23.965103149414062, q_loss : 0.12385968863964081
5951/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -28.78409194946289, q_loss : 0.08002766221761703
5952/20000, episode_reward : 52, episode_length : 16, CTR : 0.875, a_loss : -30.285839080810547, q_loss : 0.204661563038826
5953/20000, episode_reward : 2, episode_length : 1, CTR : 1.0, a_loss : -27.84113311767578, q_loss : 0.1067543774843216
5954/20000, episode_reward : 5, episode_length : 3, CTR : 0.3333333333333333, a_loss : -30.75621223449707, q_loss : 0.14099480211734772
5955/20000, episode_reward : 2, episode_length : 1, CTR : 1.0, a_loss : -30.860315322875977, q_loss : 0.10624171793460846
5956/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -23.68673324584961, q_loss : 0.11033875495195389
5957/20000, episode_reward : 107, episode_length : 25, CTR : 0.72, a_loss : -24.606842041015625, q_loss : 0.1288231611251831
5958/20000, episode_reward : 4, episode_length : 4, CTR : 0.5, a_loss : -29.763446807861328, q_loss : 0.32119372487068176
5959/20000, episode_reward : 10, episode_length : 9, CTR : 0.2222222222222222, a_loss : -26.124271392822266, q_loss : 0.07561318576335907
5960/20000, episode_reward : 15, episode_length : 19, CTR : 0.3157894736842105, a_loss : -26.849769592285156, q_loss : 0.13629445433616638
5961/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -22.841768264770508, q_loss : 0.12894953787326813
5962/20000, episode_reward : 28, episode_length : 7, CTR : 1.0, a_loss : -25.610939025878906, q_loss : 0.075263112783432
5963/20000, episode_reward : 1, episode_length : 2, CTR : 0.5, a_loss : -22.172313690185547, q_loss : 0.059770047664642334
5964/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -24.672279357910156, q_loss : 0.0715339183807373
5965/20000, episode_reward : 66, episode_length : 56, CTR : 0.32142857142857145, a_loss : -24.67831802368164, q_loss : 0.10987333208322525
5966/20000, episode_reward : 12, episode_length : 8, CTR : 0.5, a_loss : -25.950090408325195, q_loss : 0.16286513209342957
5967/20000, episode_reward : 7, episode_length : 16, CTR : 0.3125, a_loss : -25.98346519470215, q_loss : 0.5142188668251038
5968/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -26.903474807739258, q_loss : 0.09537722170352936
5969/20000, episode_reward : 10, episode_length : 11, CTR : 0.36363636363636365, a_loss : -25.70907211303711, q_loss : 0.08344467729330063
5970/20000, episode_reward : 25, episode_length : 18, CTR : 0.7222222222222222, a_loss : -25.726505279541016, q_loss : 0.16200706362724304
5971/20000, episode_reward : 16, episode_length : 9, CTR : 0.4444444444444444, a_loss : -31.060657501220703, q_loss : 0.1118786633014679
5972/20000, episode_reward : 12, episode_length : 4, CTR : 1.0, a_loss : -24.15542221069336, q_loss : 0.15182195603847504
5973/20000, episode_reward : 10, episode_length : 12, CTR : 0.4166666666666667, a_loss : -30.076231002807617, q_loss : 0.10564962029457092
5974/20000, episode_reward : 70, episode_length : 20, CTR : 0.8, a_loss : -24.03569221496582, q_loss : 0.13213065266609192
5975/20000, episode_reward : 5, episode_length : 3, CTR : 0.3333333333333333, a_loss : -27.485639572143555, q_loss : 0.08833136409521103
5976/20000, episode_reward : 1, episode_length : 2, CTR : 0.5, a_loss : -23.384777069091797, q_loss : 0.13548940420150757
5977/20000, episode_reward : 1, episode_length : 1, CTR : 1.0, a_loss : -24.37480354309082, q_loss : 0.0884951576590538
5978/20000, episode_reward : 13, episode_length : 5, CTR : 0.6, a_loss : -22.96843719482422, q_loss : 0.09708893299102783
5979/20000, episode_reward : 51, episode_length : 29, CTR : 0.6896551724137931, a_loss : -30.541057586669922, q_loss : 0.07844099402427673
5980/20000, episode_reward : 6, episode_length : 4, CTR : 0.5, a_loss : -32.09602737426758, q_loss : 0.10743118822574615
5981/20000, episode_reward : 17, episode_length : 9, CTR : 0.7777777777777778, a_loss : -23.586788177490234, q_loss : 0.13203416764736176
5982/20000, episode_reward : 11, episode_length : 5, CTR : 0.6, a_loss : -26.83038330078125, q_loss : 0.07784003764390945
5983/20000, episode_reward : 1, episode_length : 1, CTR : 1.0, a_loss : -26.633169174194336, q_loss : 0.07670937478542328
5984/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -21.411352157592773, q_loss : 0.16403569281101227
5985/20000, episode_reward : 38, episode_length : 14, CTR : 0.7857142857142857, a_loss : -30.327651977539062, q_loss : 0.11142280697822571
5986/20000, episode_reward : 8, episode_length : 4, CTR : 0.5, a_loss : -29.868064880371094, q_loss : 0.149424746632576
5987/20000, episode_reward : 0, episode_length : 3, CTR : 0.0, a_loss : -22.55669403076172, q_loss : 0.09055329859256744
5988/20000, episode_reward : 4, episode_length : 2, CTR : 1.0, a_loss : -23.83730697631836, q_loss : 0.0978337973356247
5989/20000, episode_reward : 6, episode_length : 5, CTR : 0.6, a_loss : -22.267959594726562, q_loss : 0.09521540999412537
5990/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -25.556411743164062, q_loss : 0.135813370347023
5991/20000, episode_reward : 4, episode_length : 1, CTR : 1.0, a_loss : -22.68860626220703, q_loss : 0.18431022763252258
5992/20000, episode_reward : 84, episode_length : 36, CTR : 0.6666666666666666, a_loss : -28.37735366821289, q_loss : 0.08527535945177078
5993/20000, episode_reward : 10, episode_length : 3, CTR : 1.0, a_loss : -24.059192657470703, q_loss : 0.17889250814914703
5994/20000, episode_reward : 4, episode_length : 3, CTR : 0.3333333333333333, a_loss : -29.47783660888672, q_loss : 0.14081129431724548
5995/20000, episode_reward : 76, episode_length : 31, CTR : 0.5483870967741935, a_loss : -28.629531860351562, q_loss : 0.121837317943573
5996/20000, episode_reward : 10, episode_length : 5, CTR : 0.6, a_loss : -24.94821548461914, q_loss : 0.06814299523830414
5997/20000, episode_reward : 11, episode_length : 4, CTR : 0.75, a_loss : -25.51424789428711, q_loss : 0.1263626515865326
5998/20000, episode_reward : 7, episode_length : 6, CTR : 0.8333333333333334, a_loss : -27.270036697387695, q_loss : 0.09352724254131317
5999/20000, episode_reward : 12, episode_length : 5, CTR : 1.0, a_loss : -28.265233993530273, q_loss : 0.10599948465824127
6000/20000, episode_reward : 15, episode_length : 10, CTR : 0.5, a_loss : -27.171688079833984, q_loss : 0.10728047788143158
6001/20000, episode_reward : 18, episode_length : 8, CTR : 1.0, a_loss : -24.65324592590332, q_loss : 0.07187420129776001
6002/20000, episode_reward : 19, episode_length : 13, CTR : 0.5384615384615384, a_loss : -23.202880859375, q_loss : 0.12687411904335022
6003/20000, episode_reward : 28, episode_length : 10, CTR : 0.6, a_loss : -25.88827133178711, q_loss : 0.11022328585386276
6004/20000, episode_reward : 4, episode_length : 2, CTR : 1.0, a_loss : -27.367219924926758, q_loss : 0.07821686565876007
6005/20000, episode_reward : 6, episode_length : 4, CTR : 0.75, a_loss : -26.509742736816406, q_loss : 0.07444703578948975
6006/20000, episode_reward : 2, episode_length : 2, CTR : 0.5, a_loss : -24.18453598022461, q_loss : 0.09049804508686066
6007/20000, episode_reward : 2, episode_length : 3, CTR : 0.3333333333333333, a_loss : -24.29674530029297, q_loss : 0.09595642238855362
6008/20000, episode_reward : 23, episode_length : 8, CTR : 0.75, a_loss : -26.97533416748047, q_loss : 0.11850769817829132
6009/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -28.900962829589844, q_loss : 0.12621861696243286
6010/20000, episode_reward : 99, episode_length : 55, CTR : 0.4909090909090909, a_loss : -24.199462890625, q_loss : 0.23184578120708466
6011/20000, episode_reward : 0, episode_length : 3, CTR : 0.0, a_loss : -23.71798324584961, q_loss : 0.15735754370689392
6012/20000, episode_reward : 2, episode_length : 3, CTR : 0.3333333333333333, a_loss : -24.56112289428711, q_loss : 0.13498517870903015
6013/20000, episode_reward : 13, episode_length : 3, CTR : 1.0, a_loss : -23.156864166259766, q_loss : 0.11924471706151962
6014/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -22.78679847717285, q_loss : 0.07988998293876648
6015/20000, episode_reward : 7, episode_length : 2, CTR : 1.0, a_loss : -24.18751335144043, q_loss : 0.16298526525497437
6016/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -25.327682495117188, q_loss : 0.10554122924804688
6017/20000, episode_reward : 5, episode_length : 4, CTR : 0.75, a_loss : -26.6199951171875, q_loss : 0.09572556614875793
6018/20000, episode_reward : 7, episode_length : 8, CTR : 0.25, a_loss : -21.587543487548828, q_loss : 0.051138702780008316
6019/20000, episode_reward : 74, episode_length : 35, CTR : 0.6285714285714286, a_loss : -26.225704193115234, q_loss : 0.13581985235214233
6020/20000, episode_reward : 43, episode_length : 11, CTR : 0.7272727272727273, a_loss : -24.758054733276367, q_loss : 0.09017889201641083
6021/20000, episode_reward : 18, episode_length : 8, CTR : 0.875, a_loss : -26.49651527404785, q_loss : 0.1111266016960144
6022/20000, episode_reward : 2, episode_length : 1, CTR : 1.0, a_loss : -24.07719612121582, q_loss : 0.12500923871994019
6023/20000, episode_reward : 20, episode_length : 14, CTR : 0.7142857142857143, a_loss : -23.42501449584961, q_loss : 0.05050644278526306
6024/20000, episode_reward : 4, episode_length : 6, CTR : 0.3333333333333333, a_loss : -24.04282569885254, q_loss : 0.14430339634418488
6025/20000, episode_reward : 17, episode_length : 4, CTR : 1.0, a_loss : -25.913761138916016, q_loss : 0.09851487725973129
6026/20000, episode_reward : 11, episode_length : 5, CTR : 0.8, a_loss : -23.004173278808594, q_loss : 0.10132444649934769
6027/20000, episode_reward : 7, episode_length : 2, CTR : 1.0, a_loss : -23.395862579345703, q_loss : 0.0671488493680954
6028/20000, episode_reward : 32, episode_length : 10, CTR : 0.7, a_loss : -27.818771362304688, q_loss : 0.14673370122909546
6029/20000, episode_reward : 86, episode_length : 27, CTR : 0.6666666666666666, a_loss : -29.169719696044922, q_loss : 0.07144729793071747
6030/20000, episode_reward : 6, episode_length : 5, CTR : 0.4, a_loss : -22.763591766357422, q_loss : 0.07044588029384613
6031/20000, episode_reward : 2, episode_length : 1, CTR : 1.0, a_loss : -19.963886260986328, q_loss : 0.08538368344306946
6032/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -29.90685272216797, q_loss : 0.10692134499549866
6033/20000, episode_reward : 9, episode_length : 13, CTR : 0.15384615384615385, a_loss : -25.944141387939453, q_loss : 0.1525932401418686
6034/20000, episode_reward : 5, episode_length : 7, CTR : 0.2857142857142857, a_loss : -24.3756046295166, q_loss : 0.13787512481212616
6035/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -29.133743286132812, q_loss : 0.12132219970226288
6036/20000, episode_reward : 3, episode_length : 3, CTR : 0.6666666666666666, a_loss : -23.67001724243164, q_loss : 0.08509844541549683
