0/20000, episode_reward : 1, episode_length : 10, CTR : 0.1, a_loss : 0, q_loss : 0
52/20000, episode_reward : 3, episode_length : 11, CTR : 0.2727272727272727, a_loss : -0.21524487435817719, q_loss : 0.03512459993362427
53/20000, episode_reward : 1, episode_length : 22, CTR : 0.045454545454545456, a_loss : -0.11346656829118729, q_loss : 0.03569725528359413
54/20000, episode_reward : 0, episode_length : 8, CTR : 0.0, a_loss : -0.0390678346157074, q_loss : 0.028815338388085365
55/20000, episode_reward : 0, episode_length : 4, CTR : 0.0, a_loss : -0.2734930217266083, q_loss : 0.03301389887928963
56/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.12710319459438324, q_loss : 0.04393501579761505
57/20000, episode_reward : 1, episode_length : 3, CTR : 0.3333333333333333, a_loss : 0.01920279860496521, q_loss : 0.03357979655265808
58/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.22419896721839905, q_loss : 0.09446409344673157
59/20000, episode_reward : 0, episode_length : 4, CTR : 0.0, a_loss : -0.32898667454719543, q_loss : 0.033399954438209534
60/20000, episode_reward : 2, episode_length : 13, CTR : 0.07692307692307693, a_loss : -0.14516425132751465, q_loss : 0.017714805901050568
61/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.09715557098388672, q_loss : 0.017467031255364418
62/20000, episode_reward : 0, episode_length : 7, CTR : 0.0, a_loss : -0.0635790228843689, q_loss : 0.022933239117264748
63/20000, episode_reward : 0, episode_length : 8, CTR : 0.0, a_loss : -0.20195332169532776, q_loss : 0.021647442132234573
64/20000, episode_reward : 4, episode_length : 10, CTR : 0.3, a_loss : -0.17698219418525696, q_loss : 0.014414152130484581
65/20000, episode_reward : 0, episode_length : 3, CTR : 0.0, a_loss : -0.21227401494979858, q_loss : 0.01720541901886463
66/20000, episode_reward : 1, episode_length : 1, CTR : 1.0, a_loss : -0.15030650794506073, q_loss : 0.014058415777981281
67/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.1077413484454155, q_loss : 0.021343745291233063
68/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.11625531315803528, q_loss : 0.017559435218572617
69/20000, episode_reward : 0, episode_length : 4, CTR : 0.0, a_loss : -0.1953119933605194, q_loss : 0.013394585810601711
70/20000, episode_reward : 10, episode_length : 100, CTR : 0.09, a_loss : -0.24522915482521057, q_loss : 0.014715297147631645
71/20000, episode_reward : 3, episode_length : 8, CTR : 0.375, a_loss : -0.18022549152374268, q_loss : 0.007897533476352692
72/20000, episode_reward : 3, episode_length : 10, CTR : 0.3, a_loss : -0.456876665353775, q_loss : 0.009572576731443405
73/20000, episode_reward : 1, episode_length : 3, CTR : 0.3333333333333333, a_loss : -0.4966001510620117, q_loss : 0.015419038012623787
74/20000, episode_reward : 8, episode_length : 70, CTR : 0.11428571428571428, a_loss : -0.5608930587768555, q_loss : 0.012244762852787971
75/20000, episode_reward : 0, episode_length : 3, CTR : 0.0, a_loss : -0.38319605588912964, q_loss : 0.013026552274823189
76/20000, episode_reward : 0, episode_length : 10, CTR : 0.0, a_loss : -0.29939162731170654, q_loss : 0.009673016145825386
77/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.3528660535812378, q_loss : 0.010104428045451641
78/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.30437442660331726, q_loss : 0.009516366757452488
79/20000, episode_reward : 1, episode_length : 1, CTR : 1.0, a_loss : -0.20927438139915466, q_loss : 0.012543734163045883
80/20000, episode_reward : 0, episode_length : 3, CTR : 0.0, a_loss : -0.31535276770591736, q_loss : 0.014225585386157036
81/20000, episode_reward : 1, episode_length : 1, CTR : 1.0, a_loss : -0.24573196470737457, q_loss : 0.009991209954023361
82/20000, episode_reward : 0, episode_length : 7, CTR : 0.0, a_loss : -0.3340274691581726, q_loss : 0.009868955239653587
83/20000, episode_reward : 1, episode_length : 3, CTR : 0.3333333333333333, a_loss : -0.48071739077568054, q_loss : 0.019031239673495293
84/20000, episode_reward : 0, episode_length : 6, CTR : 0.0, a_loss : -0.4491373896598816, q_loss : 0.012014588341116905
85/20000, episode_reward : 0, episode_length : 4, CTR : 0.0, a_loss : -0.3191482722759247, q_loss : 0.010280348360538483
86/20000, episode_reward : 5, episode_length : 16, CTR : 0.25, a_loss : -0.3496585488319397, q_loss : 0.010410172864794731
87/20000, episode_reward : 1, episode_length : 1, CTR : 1.0, a_loss : -0.3637288808822632, q_loss : 0.009649586863815784
88/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.34278810024261475, q_loss : 0.02260829508304596
89/20000, episode_reward : 1, episode_length : 2, CTR : 0.5, a_loss : -0.30710554122924805, q_loss : 0.01017356850206852
90/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.23161697387695312, q_loss : 0.010996062308549881
91/20000, episode_reward : 0, episode_length : 4, CTR : 0.0, a_loss : -0.40079233050346375, q_loss : 0.007738593965768814
92/20000, episode_reward : 0, episode_length : 7, CTR : 0.0, a_loss : -0.5186213254928589, q_loss : 0.011791421100497246
93/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.32158276438713074, q_loss : 0.014751732349395752
94/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.49426043033599854, q_loss : 0.011111941188573837
95/20000, episode_reward : 5, episode_length : 8, CTR : 0.375, a_loss : -0.44439953565597534, q_loss : 0.015458399429917336
